de Ligne,de Station,vers Ligne,vers Station
3,Malesherbes,3,Villiers
3,Villiers,3,Europe
3,Europe,3,Saint-Lazare
3,Saint-Lazare,3,Havre - Caumartin
3,Havre - Caumartin,3,Opéra
3,Opéra,3,Quatre-Septembre
3,Quatre-Septembre,3,Bourse
3,Bourse,3,Sentier
3,Sentier,3,Réaumur - Sébastopol
3,Réaumur - Sébastopol,3,Arts et Métiers
3,Arts et Métiers,3,Temple
3,Temple,3,République
3,République,3,Parmentier
3,Parmentier,3,Rue Saint-Maur
3,Rue Saint-Maur,3,Père Lachaise
3,Père Lachaise,3,Gambetta
3,Gambetta,3,Porte de Bagnolet
3,Porte de Bagnolet,3,Gallieni
3bis,Gambetta,3bis,Pelleport
3bis,Pelleport,3bis,Porte des Lilas
4,Porte de Clignancourt,4,Simplon
4,Simplon,4,Marcadet - Poissonniers
4,Marcadet - Poissonniers,4,Château Rouge
4,Château Rouge,4,Barbès - Rochechouart
4,Barbès - Rochechouart,4,Gare du Nord
4,Gare du Nord,4,Gare de l'Est
4,Gare de l'Est,4,Château d'Eau
4,Château d'Eau,4,Strasbourg - Saint-Denis
4,Strasbourg - Saint-Denis,4,Réaumur - Sébastopol
4,Réaumur - Sébastopol,4,Étienne Marcel
4,Étienne Marcel,4,Les Halles
4,Les Halles,4,Châtelet
4,Châtelet,4,Cité
4,Cité,4,Saint-Michel
4,Saint-Michel,4,Odéon
4,Odéon,4,Saint-Germain-des-Prés
4,Saint-Germain-des-Prés,4,Saint-Sulpice
4,Saint-Sulpice,4,Saint-Placide
4,Saint-Placide,4,Montparnasse - Bienvenüe
4,Montparnasse - Bienvenüe,4,Vavin
4,Vavin,4,Raspail
4,Raspail,4,Denfert-Rochereau
4,Denfert-Rochereau,4,Mouton-Duvernet
4,Mouton-Duvernet,4,Alésia
4,Alésia,4,Porte d'Orléans
4,Porte d'Orléans,4,Mairie de Montrouge
4,Mairie de Montrouge,4,Barbara
4,Barbara,4,Bagneux - Lucie Aubrac
5,Bobigny - Pablo Picasso,5,Bobigny - Pantin - Raymond Queneau
5,Bobigny - Pantin - Raymond Queneau,5,Église de Pantin
5,Église de Pantin,5,Hoche
5,Hoche,5,Porte de Pantin
5,Porte de Pantin,5,Ourcq
5,Ourcq,5,Laumière
5,Laumière,5,Jaurès
5,Jaurès,5,Stalingrad
5,Stalingrad,5,Gare du Nord
5,Gare du Nord,5,Gare de l'Est
5,Gare de l'Est,5,Jacques Bonsergent
5,Jacques Bonsergent,5,République
5,République,5,Oberkampf
5,Oberkampf,5,Richard-Lenoir
5,Richard-Lenoir,5,Bréguet - Sabin
5,Bréguet - Sabin,5,Bastille
5,Bastille,5,Quai de la Rapée
5,Quai de la Rapée,5,Gare d'Austerlitz
5,Gare d'Austerlitz,5,Saint-Marcel
5,Saint-Marcel,5,Campo-Formio
5,Campo-Formio,5,Place d'Italie
6,Charles de Gaulle - Étoile,6,Kléber
6,Kléber,6,Boissière
6,Boissière,6,Trocadéro
6,Trocadéro,6,Passy
6,Passy,6,Bir-Hakeim
6,Bir-Hakeim,6,Dupleix
6,Dupleix,6,La Motte-Picquet - Grenelle
6,La Motte-Picquet - Grenelle,6,Cambronne
6,Cambronne,6,Sèvres - Lecourbe
6,Sèvres - Lecourbe,6,Pasteur
6,Pasteur,6,Montparnasse - Bienvenüe
6,Montparnasse - Bienvenüe,6,Edgar Quinet
6,Edgar Quinet,6,Raspail
6,Raspail,6,Denfert-Rochereau
6,Denfert-Rochereau,6,Saint-Jacques
6,Saint-Jacques,6,Glacière
6,Glacière,6,Corvisart
6,Corvisart,6,Place d'Italie
6,Place d'Italie,6,Nationale
6,Nationale,6,Chevaleret
6,Chevaleret,6,Quai de la Gare
6,Quai de la Gare,6,Bercy
6,Bercy,6,Dugommier
6,Dugommier,6,Daumesnil
6,Daumesnil,6,Bel-Air
6,Bel-Air,6,Picpus
6,Picpus,6,Nation
7,La Courneuve - 8 Mai 1945,7,Fort d'Aubervilliers
7,Fort d'Aubervilliers,7,Aubervilliers - Pantin - Quatre Chemins
7,Aubervilliers - Pantin - Quatre Chemins,7,Porte de la Villette
7,Porte de la Villette,7,Corentin Cariou
7,Corentin Cariou,7,Crimée
7,Crimée,7,Riquet
7,Riquet,7,Stalingrad
7,Stalingrad,7,Louis Blanc
7,Louis Blanc,7,Château-Landon
7,Château-Landon,7,Gare de l'Est
7,Gare de l'Est,7,Poissonnière
7,Poissonnière,7,Cadet
7,Cadet,7,Le Peletier
7,Le Peletier,7,Chaussée d'Antin - La Fayette
7,Chaussée d'Antin - La Fayette,7,Opéra
7,Opéra,7,Pyramides
7,Pyramides,7,Palais-Royal - Musée du Louvre
7,Palais-Royal - Musée du Louvre,7,Pont-Neuf
7,Pont-Neuf,7,Châtelet
7,Châtelet,7,Pont Marie
7,Pont Marie,7,Sully - Morland
7,Sully - Morland,7,Jussieu
7,Jussieu,7,Place Monge
7,Place Monge,7,Censier - Daubenton
7,Censier - Daubenton,7,Les Gobelins
7,Les Gobelins,7,Place d'Italie
7,Place d'Italie,7,Tolbiac
7,Tolbiac,7,Maison Blanche
7,Maison Blanche,7,Le Kremlin-Bicêtre
7,Le Kremlin-Bicêtre,7,Villejuif - Léo Lagrange
7,Villejuif - Léo Lagrange,7,Villejuif - Paul Vaillant-Couturier
7,Villejuif - Paul Vaillant-Couturier,7,Villejuif - Louis Aragon
7,Villejuif - Louis Aragon,7,Porte d'Italie
7,Porte d'Italie,7,Porte de Choisy
7,Porte de Choisy,7,Porte d'Ivry
7,Porte d'Ivry,7,Pierre et Marie Curie
7,Pierre et Marie Curie,7,Mairie d'Ivry
7bis,Louis Blanc,7bis,Jaurès
7bis,Jaurès,7bis,Bolivar
7bis,Bolivar,7bis,Buttes Chaumont
7bis,Buttes Chaumont,7bis,Botzaris
7bis,Botzaris,7bis,Danube
7bis,Danube,7bis,Place des Fêtes
7bis,Place des Fêtes,7bis,Pré-Saint-Gervais
8,Balard,8,Lourmel
8,Lourmel,8,Boucicaut
8,Boucicaut,8,Félix Faure
8,Félix Faure,8,Commerce
8,Commerce,8,La Motte-Picquet - Grenelle
8,La Motte-Picquet - Grenelle,8,École Militaire
8,École Militaire,8,La Tour-Maubourg
8,La Tour-Maubourg,8,Invalides
8,Invalides,8,Concorde
8,Concorde,8,Madeleine
8,Madeleine,8,Opéra
8,Opéra,8,Richelieu - Drouot
8,Richelieu - Drouot,8,Grands Boulevards
8,Grands Boulevards,8,Bonne-Nouvelle
8,Bonne-Nouvelle,8,Strasbourg - Saint-Denis
8,Strasbourg - Saint-Denis,8,République
8,République,8,Filles du Calvaire
8,Filles du Calvaire,8,Saint-Sébastien - Froissart
8,Saint-Sébastien - Froissart,8,Chemin Vert
8,Chemin Vert,8,Bastille
8,Bastille,8,Ledru-Rollin
8,Ledru-Rollin,8,Faidherbe - Chaligny
8,Faidherbe - Chaligny,8,Reuilly - Diderot
8,Reuilly - Diderot,8,Montgallet
8,Montgallet,8,Daumesnil
8,Daumesnil,8,Michel Bizot
8,Michel Bizot,8,Porte Dorée
8,Porte Dorée,8,Porte de Charenton
8,Porte de Charenton,8,Liberté
8,Liberté,8,Charenton - Écoles
8,Charenton - Écoles,8,École vétérinaire de Maisons-Alfort
8,École vétérinaire de Maisons-Alfort,8,Maisons-Alfort - Stade
8,Maisons-Alfort - Stade,8,Maisons-Alfort - Les Juilliottes
8,Maisons-Alfort - Les Juilliottes,8,Créteil - L'Échat
8,Créteil - L'Échat,8,Créteil - Université
8,Créteil - Université,8,Créteil - Préfecture
8,Créteil - Préfecture,8,Pointe du Lac
9,Pont de Sèvres,9,Billancourt
9,Billancourt,9,Marcel Sembat
9,Marcel Sembat,9,Porte de Saint-Cloud
9,Porte de Saint-Cloud,9,Exelmans
9,Exelmans,9,Michel-Ange - Molitor
9,Michel-Ange - Molitor,9,Michel-Ange - Auteuil
9,Michel-Ange - Auteuil,9,Jasmin
9,Jasmin,9,Ranelagh
9,Ranelagh,9,La Muette
9,La Muette,9,Rue de la Pompe
9,Rue de la Pompe,9,Trocadéro
9,Trocadéro,9,Iéna
9,Iéna,9,Alma - Marceau
9,Alma - Marceau,9,Franklin D. Roosevelt
9,Franklin D. Roosevelt,9,Saint-Philippe du Roule
9,Saint-Philippe du Roule,9,Miromesnil
9,Miromesnil,9,Saint-Augustin
9,Saint-Augustin,9,Havre - Caumartin
9,Havre - Caumartin,9,Chaussée d'Antin - La Fayette
9,Chaussée d'Antin - La Fayette,9,Richelieu - Drouot
9,Richelieu - Drouot,9,Grands Boulevards
9,Grands Boulevards,9,Bonne-Nouvelle
9,Bonne-Nouvelle,9,Strasbourg - Saint-Denis
9,Strasbourg - Saint-Denis,9,République
9,République,9,Oberkampf
9,Oberkampf,9,Saint-Ambroise
9,Saint-Ambroise,9,Voltaire
9,Voltaire,9,Charonne
9,Charonne,9,Rue des Boulets
9,Rue des Boulets,9,Nation
9,Nation,9,Buzenval
9,Buzenval,9,Maraîchers
9,Maraîchers,9,Porte de Montreuil
9,Porte de Montreuil,9,Robespierre
9,Robespierre,9,Croix de Chavaux
9,Croix de Chavaux,9,Mairie de Montreuil
10,Boulogne - Pont de Saint-Cloud,10,Boulogne - Jean Jaurès
10,Boulogne - Jean Jaurès,10,Porte d'Auteuil
10,Porte d'Auteuil,10,Michel-Ange - Molitor
10,Michel-Ange - Molitor,10,Michel-Ange - Auteuil
10,Michel-Ange - Auteuil,10,Chardon-Lagache
10,Chardon-Lagache,10,Église d'Auteuil
10,Église d'Auteuil,10,Mirabeau
10,Mirabeau,10,Javel - André Citroën
10,Javel - André Citroën,10,Charles Michels
10,Charles Michels,10,Avenue Émile-Zola
10,Avenue Émile-Zola,10,La Motte-Picquet - Grenelle
10,La Motte-Picquet - Grenelle,10,Ségur
10,Ségur,10,Duroc
10,Duroc,10,Vaneau
10,Vaneau,10,Sèvres - Babylone
10,Sèvres - Babylone,10,Mabillon
10,Mabillon,10,Odéon
10,Odéon,10,Cluny - La Sorbonne
10,Cluny - La Sorbonne,10,Maubert - Mutualité
10,Maubert - Mutualité,10,Cardinal Lemoine
10,Cardinal Lemoine,10,Jussieu
10,Jussieu,10,Gare d'Austerlitz
11,Châtelet,11,Hôtel de Ville
11,Hôtel de Ville,11,Rambuteau
11,Rambuteau,11,Arts et Métiers
11,Arts et Métiers,11,République
11,République,11,Goncourt
11,Goncourt,11,Belleville
11,Belleville,11,Pyrénées
11,Pyrénées,11,Jourdain
11,Jourdain,11,Place des Fêtes
11,Place des Fêtes,11,Télégraphe
11,Télégraphe,11,Porte des Lilas
11,Porte des Lilas,11,Mairie des Lilas
12,Mairie d'Aubervilliers,12,Aimé Césaire
12,Aimé Césaire,12,Front Populaire
12,Front Populaire,12,Porte de la Chapelle
12,Porte de la Chapelle,12,Marx Dormoy
12,Marx Dormoy,12,Marcadet - Poissonniers
12,Marcadet - Poissonniers,12,Jules Joffrin
12,Jules Joffrin,12,Lamarck - Caulaincourt
12,Lamarck - Caulaincourt,12,Abbesses
12,Abbesses,12,Pigalle
12,Pigalle,12,Saint-Georges
12,Saint-Georges,12,Notre-Dame-de-Lorette
12,Notre-Dame-de-Lorette,12,Trinité - d'Estienne d'Orves
12,Trinité - d'Estienne d'Orves,12,Saint-Lazare
12,Saint-Lazare,12,Madeleine
12,Madeleine,12,Concorde
12,Concorde,12,Assemblée nationale
12,Assemblée nationale,12,Solférino
12,Solférino,12,Rue du Bac
12,Rue du Bac,12,Sèvres - Babylone
12,Sèvres - Babylone,12,Rennes
12,Rennes,12,Notre-Dame-des-Champs
12,Notre-Dame-des-Champs,12,Montparnasse - Bienvenüe
12,Montparnasse - Bienvenüe,12,Falguière
12,Falguière,12,Pasteur
12,Pasteur,12,Volontaires
12,Volontaires,12,Vaugirard
12,Vaugirard,12,Convention
12,Convention,12,Porte de Versailles
12,Porte de Versailles,12,Corentin Celton
12,Corentin Celton,12,Mairie d'Issy
13,Les Courtilles,13,Les Agnettes
13,Les Agnettes,13,Gabriel Péri
13,Gabriel Péri,13,Mairie de Clichy
13,Mairie de Clichy,13,Porte de Clichy
13,Porte de Clichy,13,Brochant
13,Brochant,13,Saint-Denis - Université
13,Saint-Denis - Université,13,Basilique de Saint-Denis
13,Basilique de Saint-Denis,13,Saint-Denis - Porte de Paris
13,Saint-Denis - Porte de Paris,13,Carrefour Pleyel
13,Carrefour Pleyel,13,Mairie de Saint-Ouen
13,Mairie de Saint-Ouen,13,Garibaldi
13,Garibaldi,13,Porte de Saint-Ouen
13,Porte de Saint-Ouen,13,Guy Môquet
13,Guy Môquet,13,La Fourche
13,La Fourche,13,Place de Clichy
13,Place de Clichy,13,Liège
13,Liège,13,Saint-Lazare
13,Saint-Lazare,13,Miromesnil
13,Miromesnil,13,Champs-Élysées - Clemenceau
13,Champs-Élysées - Clemenceau,13,Invalides
13,Invalides,13,Varenne
13,Varenne,13,Saint-François-Xavier
13,Saint-François-Xavier,13,Duroc
13,Duroc,13,Montparnasse - Bienvenüe
13,Montparnasse - Bienvenüe,13,Gaîté
13,Gaîté,13,Pernety
13,Pernety,13,Plaisance
13,Plaisance,13,Porte de Vanves
13,Porte de Vanves,13,Malakoff - Plateau de Vanves
13,Malakoff - Plateau de Vanves,13,Malakoff - Rue Étienne-Dolet
13,Malakoff - Rue Étienne-Dolet,13,Châtillon - Montrouge
14,Mairie de Saint-Ouen,14,Saint-Ouen
14,Saint-Ouen,14,Porte de Clichy
14,Porte de Clichy,14,Pont Cardinet
14,Pont Cardinet,14,Saint-Lazare
14,Saint-Lazare,14,Madeleine
14,Madeleine,14,Pyramides
14,Pyramides,14,Châtelet
14,Châtelet,14,Gare de Lyon
14,Gare de Lyon,14,Bercy
14,Bercy,14,Cour Saint-Émilion
14,Cour Saint-Émilion,14,Bibliothèque François-Mitterrand
14,Bibliothèque François-Mitterrand,14,Olympiades
